Cno 	  Csize 	 CEdge 	 CDensity 	 Cluster Info
C92	21	22	4.77	[TXN, GPX1, ARHGAP11B, EXOSC2, ABL1, HSCB, KARS, SELENBP1, MPST, GPX4, SOAT1, PIGS, GLB1, TXNRD2, CAD, PIGT, FN1, SYT16, AR, SINHCAF, ILK]	
C93	21	24	4.38	[AAMP, ASAH1, AAGAB, TBC1D22B, ZNF556, ZIC1, LYPD1, RNF6, NSG2, AIRE, SLCO6A1, FTH1, ZSCAN12, TRMT2A, HTATIP2, NONO, FBXO6, GLT1D1, PNKD, HSF2, GM2A]	
C94	21	21	5.0	[HMOX2, UGT8, HMOX1, PON2, LMAN2L, ADRA1A, CSGALNACT2, H1F0, NEK4, B4GAT1, AGTR1, UPK1A, FBXO6, TRDN, NCEH1, FUT1, SEC22B, SCGB2A2, ADPGK, MPPE1, PIGB]	
C95	21	21	5.0	[SCAMP1, ENPP6, ZBTB33, CRLF3, SLC26A6, NDUFB4, LMF2, NDUFA7, IMPAD1, EMC3, GLB1L2, PTPN1, AGTRAP, NUP85, USP22, VAMP3, MEX3B, RIPK4, STEAP3, GLMN, CD1B]	
C96	21	21	5.0	[LUZP1, DHCR24, ERAP1, ACTA2, CISD3, CKAP5, COQ9, CNR2, CCR4, IKBKB, PGRMC1, NDUFA4, ESR1, TEX101, REEP5, TP53, APP, PSEN1, CAV2, NDUFAF4, APOA1]	
C97	21	22	4.77	[ZNF250, LTF, SIRPG, CCDC148, FN3KRP, ICE2, LYZ, AEBP2, METTL3, METTL14, MAPK15, ARHGAP11A, APCDD1, NCL, GSK3B, GSK3A, PRAP1, EPPIN, DHX30, POLL, FN1]	
C98	21	25	4.2	[PCDHGA5, SMPD2, PCDHB16, ANAPC10, TMED6, PLVAP, TMEM30A, FNTB, MTHFR, RPN2, FAM189B, KCNC4, LRRTM1, TEX28, PCDHGB4, PCDHB7, ZNRF4, LRRC32, PCDHAC2, PCDHA3, PIGA]	
C99	21	21	5.0	[TAC1, TACR1, ATP12A, ND1, ND4, ATP5F1B, ATP8, ATP5PD, GPR50, LPCAT3, LNPK, LMBR1, NDUFC2, SLC25A46, RGPD1, GPR89A, STX4, ATP5PB, TSPAN15, RDH14, FN1]	
C100	21	21	5.0	[IGFBP3, TF, SH2D4A, TFRC, CA8, SERPINB2, KLK7, IGLL5, ALB, IGHG1, POF1B, ITPR1, MYC, DRD2, CANX, CALR, IGF2, TFR2, GAST, DDX31, CD1D]	
C101	21	21	5.0	[SHTN1, BCHE, MANEAL, DIAPH3, FAM120A, ENAH, PALLD, ASPH, SLAMF1, CPSF7, NHP2, MIA2, TUBA3D, SMR3B, NOP10, ENTPD5, SCGB1D1, NAF1, SCGB1D4, FBXO2, FN1]	
C102	21	23	4.57	[APOC1, APOA1, PLTP, LCAT, CLU, ABCA6, ROBO3, ALB, C1QA, VCAM1, SAFB2, CD40LG, KIAA0754, DNTT, CTSL, C1QBP, APOC3, C1QC, MOCOS, TEX101, FN1]	
C103	21	21	5.0	[FNDC11, ACACA, CCT3, OAS2, PSG1, CSNK1A1, GRK2, RPS6KA1, BRCA1, CSNK1E, NUP50, STK25, KIF5B, ARRB1, PSMB7, NDUFA4, RIOK2, PPP4R3A, PHKG2, C15orf48, DYNLL1]	
C104	21	21	5.0	[HOXC9, PIGT, ZMYND19, RMND5B, RMND5A, RANBP10, ARMC8, MAEA, WDR26, TNIP1, RANBP9, CEP85L, N4BP2L2, ANKRD40, FAM136A, ZNF609, TOR1AIP1, ESR1, HSCB, POGLUT1, CAD]	
C105	20	19	5.0	[CFTR, LIN7C, RYR2, SNX9, RYK, LGALS3, PLEKHA6, TIAM1, FAM120A, SQOR, CAPN1, TRIP12, GNA11, SORL1, MUC13, SNX4, SPTLC1, ADCY8, REPS1, THEM6]	
C106	20	19	5.0	[FGB, ATG3, DUSP3, USO1, KIAA1143, UBA1, SCRN1, TCEA1, PYGB, CAB39, GCA, DDAH1, PAPOLA, GLS, ADSL, PUS7, GNAQ, HDGFL2, GTF2F1, LSM1]	
C107	20	19	5.0	[CA14, DNM1L, EXOC6, COG8, MON2, FANCD2, HEATR1, NUP160, EXOC8, TNPO2, MTOR, EVA1B, SLC38A7, EIF2B5, EXOC6B, COG4, NCAPH2, EIF2B2, NF1, SAAL1]	
C108	20	19	5.0	[ACACA, CSNK1E, NUP50, STK25, KIF5B, ARRB1, PSMB7, NDUFA4, RIOK2, PPP4R3A, PHKG2, C15orf48, STK3, EPB41L1, DCAF6, PRKAR1A, EEF2K, ODAPH, SH3GL3, CDK9]	
C109	20	19	5.0	[SELENBP1, GPX1, SYT16, AR, SINHCAF, RASGRP4, ARL11, CPLX3, CAMKMT, MED31, TRIP13, USP15, USP33, MAS1, TFG, FBXL4, RAB11FIP4, HOOK1, LACC1, SETDB2]	
C110	20	19	5.0	[EFEMP2, CCDC33, ZNF638, COL8A1, APEX2, CREB5, NUFIP2, RIBC2, AQP1, PIDD1, ATXN1, CCNK, GLRX3, ZNF263, FAM107A, CATSPER1, AMMECR1, RHPN1, PRPF31, ZNF426]	
C111	20	19	5.0	[CA8, AHSG, CDSN, SPDL1, GGA2, LNX1, CRX, PKP1, HSD17B14, MAGED1, IGHG2, IGKC, S100A7, C3, ECM1, CST6, IGHG3, ITPR2, SERPINA1, FGG]	
C112	20	19	5.0	[COL4A3BP, PNMA2, NAP1L5, NEK4, PPP2R5C, PACSIN2, FTL, ACTL8, RTN3, POM121, RTN4, ARL6IP1, APCS, ENTPD7, EYA1, RUFY1, MARK1, MARK3, TRAF7, EXOSC3]	
C113	20	19	5.0	[SMPD4, TEAD2, ERBB2, FOXB1, CUL2, FOXI1, FOXH1, SRFBP1, FOXL2, KPNB1, NUP153, FOXL1, NUP107, FOXE1, FOXI2, FOXA3, SEC61B, LMNA, BRF2, PC]	
C114	20	19	5.0	[MCCC1, CUL4B, MAIP1, IREB2, ECI2, CHCHD10, SOS2, FECH, TUFM, NPB, SUCLA2, METTL2A, FOXRED1, TMEM70, OXCT2, GCAT, CFTR, LGALS4, MS4A5, KCNJ1]	
C115	20	19	5.0	[GALC, HIST1H1C, IER2, IKZF1, TRMT11, CST7, ESS2, TMEM51, OTUD6B, NCOA5, EEF2KMT, CLEC11A, GTF2H2C, PTS, ARHGEF1, AGO4, MAPK7, FNDC5, LCK, TEX29]	
C116	20	19	5.0	[F2, ITGA2B, SERPING1, F8, SERPINA5, GP1BA, F2R, CPB2, SERPINB6, F5, SERPINC1, SERPIND1, THBD, A2M, LCAT, LOXL1, CFTR, PIKFYVE, CUL2, FBLN5]	
C117	20	19	5.0	[PIGQ, SMAD1, PMEL, IL17RB, IL17RC, GDPD5, TCTN2, PCDHAC2, DPEP1, TMCO3, TNFSF13B, PIGB, SMPD2, WTAP, TMPRSS12, GGT7, POMK, KCNC4, TEX28, LRRC32]	
C118	20	19	5.0	[SEPSECS, LZTFL1, SOX2, RBPJ, MTMR2, CPPED1, COP1, ABLIM1, LOX, MAD2L2, EGF, IQCB1, PTPRK, DPT, CA14, BCHE, EXOC5, SLC22A18, LTN1, PI4KA]	
C119	20	19	5.0	[PLEKHA8, FANCI, MASTL, CDKN2AIPNL, KPNB1, FAN1, CDKN2A, PLEKHA8P1, SMPD4, TEAD2, ERBB2, FOXB1, CUL2, FOXI1, FOXH1, SRFBP1, FOXL2, NUP153, FOXL1, NUP107]	
C120	20	19	5.0	[SUOX, COX6B1, NUP62, DNAJC11, FHOD1, TROAP, CES3, SPANXN3, CELA3A, TUBA4A, TMEM132A, CNTNAP3, PCSK5, PPP2R5D, POTEF, TUBB8, FBXO7, PPIP5K2, CAD, TP63]	
C121	20	20	4.75	[PCCA, IP6K3, YBEY, WDYHV1, ICMT, LAMP3, TTC1, RARS2, PC, SLAMF1, XRCC3, EPHA7, TPSB2, IFIT1, PTPN9, GOT1, ME1, ANTXR1, HSD3B2, MDH2]	
C122	20	19	5.0	[CYP19A1, CD109, H2AFX, CACNA2D1, RC3H2, NPLOC4, ENPP7, MKS1, PDF, RHEB, TTC17, ERGIC2, TUBB3, EPDR1, GLB1, TUBB1, ENPP6, ATP6AP2, VIM, CDK2]	
C123	20	19	5.0	[GLTP, CMTM5, SHKBP1, ASPSCR1, AMD1, STARD7, APOA1, PIGM, TMEM43, TXNDC2, SERTAD3, KRT1, FAM169A, TNS3, IGKC, FAM83C, PTPN5, HBA1, QDPR, CNMD]	
C124	20	19	5.0	[DIO2, USP20, MARCH6, UBE2G1, WSB1, USP33, SELENBP1, GPX1, SYT16, AR, SINHCAF, RASGRP4, ARL11, CPLX3, CAMKMT, MED31, TRIP13, USP15, MAS1, TFG]	
C125	20	19	5.0	[SLC9A3R2, SLC26A3, CFTR, BSG, PPP1R12A, SKP1, TPM1, MYO1B, RASEF, PGRMC1, LIMCH1, EPPK1, EHD1, DARS, MYH14, GANAB, SPTAN1, RPL34, HSPE1, CDH13]	
C126	20	19	5.0	[EED, SMPD3, SELENBP1, ATP6V0A1, STOM, TMEM135, ENDOD1, PPP3R1, PPP3CA, APOB, SMARCD1, MMACHC, KIF3A, FLYWCH2, RAB11B, TBC1D14, OAZ3, OFCC1, IL31RA, HEATR1]	
C127	20	19	5.0	[ALG9, STS, ENPP6, MBOAT7, JAG2, GJA1, CISD2, LRRC8A, TMEM214, RETREG2, ATP11C, SUMF1, ABCB8, LYZL1, SLC30A1, FUT8, ZDHHC6, NDUFB3, DIAPH3, STX7]	
C128	20	19	5.0	[ATP2A3, PIGO, CFTR, LPAR1, ATP2B2, PTH1R, ATP1B3, MYO1C, RPS13, GDI1, ACTR2, GNB1, RPL29, HNRNPH1, SLC25A10, DSP, ARPC2, TECR, CBR1, ACSL3]	
C129	20	19	5.0	[F13A1, HSPB1, F13B, CFTR, EIF6, RRBP1, SLC25A11, MYH11, PLEC, KLHL22, SFPQ, H1FX, MYO18A, MYO1G, MAT2A, POTEJ, PARK7, AHCY, MARCKS, HNRNPM]	
C130	20	19	5.0	[EGLN3, FBN2, ACACA, PRG2, ELN, LYPD4, ADAMTSL1, TAFA3, VWCE, PRG3, FOXD4L6, MATN2, MFAP5, CHGB, SGCZ, AKR1B10, CSNK2A2, PRKAA2, SIRT1, OXSR1]	
C131	20	19	5.0	[PSMC3, TXNRD2, CFTR, NDUFA13, HSCB, GTF2H1, NCOA6, CYP2S1, PPP1R3C, PNPLA2, FOXR2, NCOR1, UNC45A, CTBP2, DOCK7, CCN1, DAZAP1, PAWR, CASP14, HNRNPA2B1]	
C132	20	19	5.0	[BRD4, CAD, PYGL, DUSP4, TAB2, ABI1, MAP2K3, MTMR11, RIPK3, CSK, MAP3K1, VAV1, SOCS1, SRC, TNFRSF1B, FGR, SMAD2, RIPK1, SHC1, MAP3K3]	
C133	20	19	5.0	[GDF5, SELENBP1, FOXP2, GPBP1, DOLPP1, B3GALNT1, SGO2, GPX1, SYT16, AR, SINHCAF, RASGRP4, ARL11, CPLX3, CAMKMT, MED31, TRIP13, USP15, USP33, MAS1]	
C134	20	19	5.0	[NOP16, CERK, APOL2, BUB1B, RPS14, DDX23, CCDC174, SPG7, TBC1D22A, RAD18, HLTF, CELF1, ALDH18A1, GMNN, IL20RA, TPCN2, TNFRSF9, KCTD17, CCNDBP1, ILKAP]	
C135	20	19	5.0	[THADA, CA14, CIP2A, ATR, COG7, KIF14, PEX19, EXOC7, RANBP6, EIF2B1, EIF2B3, XPO4, COG2, EIF2B4, XPO6, DNM1L, EXOC6, COG8, MON2, FANCD2]	
C136	20	19	5.0	[ABHD14A, CD1E, ITGA7, BACE2, FNDC3A, POMT1, STIM1, DPAGT1, SEMA4F, MAN2A2, LMAN2L, C1QL1, PLXNA2, SUSD5, TMEM67, ANKRD46, TMEM30A, MIA2, FCGRT, ENTPD7]	
C137	20	19	5.0	[FAM124B, EFEMP2, BAG6, LINGO1, TCAF1, CCND3, HHEX, STK16, UBQLN1, SGTA, IL16, RHOXF2, CCDC33, ZNF638, COL8A1, APEX2, CREB5, NUFIP2, RIBC2, AQP1]	
C138	20	19	5.0	[MARK2, COL4A3BP, ITGB3BP, CSNK1G2, PNMA2, NAP1L5, NEK4, PPP2R5C, PACSIN2, FTL, ACTL8, RTN3, POM121, RTN4, ARL6IP1, APCS, ENTPD7, EYA1, RUFY1, MARK1]	
C139	20	19	5.0	[CREBBP, ABCA1, IMMP1L, ABCA12, COPS2, FLOT1, ARHGEF11, DLG3, LIN7B, DLG2, ARHGEF12, STX12, CDC42, XPC, FADD, UTRN, NR1H2, SPTLC1, SNTB1, SNTB2]	
C140	20	19	5.0	[COX1, TACR1, ARL6IP5, SYNGR2, KIRREL1, CERS2, SLMAP, GPRC5C, TSPAN3, NDUFS6, PRXL2A, TMEM164, YIPF3, MFSD5, LMBRD2, ADIPOR1, PKP4, ARVCF, HACD2, PKP2]	
C141	20	19	5.0	[GALNT12, CD1B, ADAMTS2, ADAM9, PODXL2, ECEL1, TNFSF9, DHFR2, BTN2A2, LRP11, ASPHD2, ITFG1, PCYOX1L, FKRP, MAN1A1, MR1, HLA-A, QSOX2, GHITM, CNTNAP3B]	
C142	20	19	5.0	[IL6R, IL6, SH3GL2, SORL1, ZBTB16, SORT1, IL6ST, CFTR, ABCA7, LIN7C, RYR2, SNX9, RYK, LGALS3, PLEKHA6, TIAM1, FAM120A, SQOR, CAPN1, TRIP12]	
C143	20	19	5.0	[SBDS, FGB, PAK2, SNX6, PMVK, DIS3, ADK, KIF2A, SF3A1, PRKCI, LZIC, ITPA, SLK, POU2F1, PYM1, GPKOW, LETM1, NAA50, ETF1, ARMT1]	
C144	20	19	5.0	[PBK, FGB, ARHGAP1, HMGCS1, PNPO, CTH, HDLBP, TMEM237, ATG3, DUSP3, USO1, KIAA1143, UBA1, SCRN1, TCEA1, PYGB, CAB39, GCA, DDAH1, PAPOLA]	
C145	20	19	5.0	[ATF4, DDIT3, BATF, CEBPG, JUN, CEBPA, ATF3, CEBPB, FOS, CUL3, G3BP2, COPS8, RPS3, MCMBP, PICALM, TNFSF12, VPS37C, EMSY, GABBR2, HDAC1]	
C146	20	19	5.0	[RIN3, CAD, RELB, RELA, NFKB2, SPRTN, YAP1, CDK2, RC3H1, CDK9, PPP5C, SUMO1, SUMO2, MEX3C, TUBA1A, WDR76, GRB10, UBR5, DNAJC7, MAP3K14]	
C147	20	19	5.0	[PCBP2, CFTR, MPRIP, RPLP1, MYO6, NPEPPS, PPP2R2A, IPO9, PSMC4, NEDD4, EEA1, VTN, DCTN1, ERBIN, GRPEL1, RCN1, FASN, HAX1, EXOC4, SEPT11]	
C148	20	19	5.0	[DPM1, CFTR, FLG2, IMMT, ATAD3A, DSC1, STOML2, ACSL4, SFXN3, KPRP, LMNB2, CALML3, ITGB4, EPCAM, COPB2, LAMB3, AP1B1, SLC25A3, DBNL, FKBP8]	
C149	20	19	5.0	[BAG3, CFTR, PDIA3, PABPC4, CDH1, ARL6IP4, TARDBP, PSMD7, CAPNS1, TUBG2, CLTCL1, ARF4, IPO7, EIF3A, RDX, USP9X, PSMA3, ARCN1, USP10, AMFR]	
C150	20	19	5.0	[BCR, CFTR, SVIL, CSTB, CSE1L, HSP90AB1, DERL1, PPP2R1B, SDHA, ACTR1A, LMO7, XPNPEP3, COPG1, FAF2, TRIM21, CAPN2, RPL32, LMNB1, TMOD3, CTPS1]	
C151	20	19	5.0	[CLIC1, CFTR, RAN, SEC61A1, HACD3, PRKDC, UBR4, AIMP1, LIMA1, MARS, EPRS, TAGLN2, TMEM33, HSPA9, PRDX2, RCN2, VCP, DSTN, PRDX1, FLII]	
C152	20	19	5.0	[PCMT1, CFTR, KLHDC10, PDIA4, PDCD6, VPS4A, ATXN2L, SQSTM1, HSPA2, PDZD3, DNAJA2, CD59, STX1A, LMNA, PSMD2, RNF5, ELOC, ELOB, DNAJC5, S100A7]	
C153	20	19	5.0	[DNAJA1, CFTR, CALU, GOPC, LIN7C, RYR2, SNX9, RYK, LGALS3, PLEKHA6, TIAM1, FAM120A, SQOR, CAPN1, TRIP12, GNA11, SORL1, MUC13, SNX4, SPTLC1]	
C154	20	19	5.0	[FAU, DYNLL1, DIABLO, LCA5, FKBP3, WDR90, DCAF7, S100A4, RPS5, RGS2, AMOTL1, SMCP, ZNF710, CCDC36, FAM153A, NTRK2, PKIG, PKIA, PABPC1, TRAF3IP3]	
C155	20	19	5.0	[ASF1B, DYNLL1, SNCG, WDR60, GCOM1, NFKBIA, KNSTRN, SECISBP2L, TRPS1, NDEL1, ZMYM3, ZMYM2, GOLGB1, CEP152, STRN3, SPAG5, FBXO30, BCL2L1, LRFN4, UHRF1BP1L]	
C156	20	19	5.0	[AKAP9, DYNLL1, DNAL4, RHEX, MTCL1, WDR34, SOGA1, CDK5RAP2, KANK1, TCTEX1D2, HMBOX1, DYNC1LI1, GLCCI1, CTTNBP2NL, XIAP, ADNP, FBXO38, EML3, DYRK1A, STRN]	
C157	20	19	5.0	[FAM83D, DYNLL1, NRF1, STK24, NEK7, TLK1, MTPAP, DYNLRB1, PCM1, ZMYM4, AMOTL2, NEK9, STRN4, PRKACB, CIZ1, NEK6, AMBRA1, MOB4, DYNC1LI2, MORC3]	
C158	20	19	5.0	[BCAS1, DYNLL1, BMF, TLK2, OFD1, AMOT, MYO5A, DYNLL2, FAM117B, DYNC1I2, TP53BP1, DYNC1I1, DLGAP1, BCL2L11, GPHN, ELL, NLN, FOPNL, RPS2, STK25]	
C159	20	19	5.0	[CACYBP, FN1, ZW10, CNOT1, CTR9, RPL13A, AKR1C1, IGF2R, HIST1H1B, EIF5B, SND1, MRPS34, RPA1, SAR1A, PI4KA, EFTUD2, EIF4A1, RAB35, RPL5, EIF2S3]	
C160	20	19	5.0	[DIMT1, FN1, EMG1, TRAP1, PSMB2, ALYREF, RPS26, PDCD5, PELP1, TARS, MRPL13, SRSF3, RPL23A, MRPS23, UBE2L3, DDX47, FARSB, PDCD10, CNN2, MCM3]	
C161	20	19	5.0	[SMCHD1, FN1, CLNS1A, EEF1B2, PAICS, PSMG1, FERMT3, ANP32B, EPN1, MYL4, STOM, POLR2C, SUPT5H, IDI1, SF3B6, SNRPB, U2AF1, NECAP2, GTPBP4, SRI]	
C162	20	19	5.0	[TFAM, FN1, PRPS2, SMAP2, CKAP5, TUBB4B, ANXA2, ILF3, PSMC6, PRMT5, SRSF1, DDX6, RPS16, ATP6V1B2, PSMA5, TK1, SPTBN1, PUF60, CPSF6, MCM6]	
C163	20	19	5.0	[MACF1, FN1, SEPT2, H2AFV, PPP1CA, KRT31, TTC9C, AHNAK, NUP155, HADHA, COMT, EIF5, SNRPA, GMPS, RPS23, SLC25A1, PSMB5, NUP205, PFKP, NAT10]	
C164	20	19	5.0	[PGAM5, FN1, MAPRE1, NAPG, SNRNP70, ATP5F1C, CLIC2, SF3A3, PDAP1, PSMA2, USP15, HNRNPH2, BZW2, KIDINS220, USP39, RPA2, RPL12, SEC23B, STON2, SEC24C]	
C165	20	19	5.0	[NUP210, FN1, ARPC3, RAP1B, IQGAP1, ABCF1, RPS24, AFDN, NDUFA2, DHX15, VPS28, SCRIB, SNRPD3, NOP58, GLUD1, NDUFA5, EGFR, QKI, PRDX3, FDFT1]	
C166	20	19	5.0	[DDX1, FN1, SUB1, IPO4, RAP2B, MAP4, CSNK2B, YTHDF2, EIF3B, IMPDH2, MDN1, TTLL12, GALE, PRSS2, CELF2, KRT2, FLNA, GSTK1, SNU13, LASP1]	
C167	20	19	5.0	[RPL6, FN1, AARS, PAFAH1B2, SGCA, PA2G4, NACA, LRBA, EPB41, SRSF9, MRTO4, NDUFV2, NDUFS3, SMAD4, GSTP1, PRPF40A, GAPDH, AMBP, APCS, ITGB7]	
C168	20	19	5.0	[COL8A2, FN1, CXCL12, ITGB6, LACRT, REG3A, CCN3, TIMD4, MIA, CRP, PKD1, SDC2, DCN, CCN2, MMP2, FKBP9, MEPE, ERP44, ZKSCAN4, C1QB]	
C169	20	19	5.0	[TEAD4, FN1, CER1, MMP9, SCGB1A1, TGFBI, COL7A1, KPNA2, FASLG, ZYX, ITGA4, GDI2, TNC, VHL, HSPG2, ITGAV, COL1A1, ITGB3, ITGA5, VPS35]	
C170	19	22	3.89	[UGCG, C16orf58, CHMP4B, PICK1, TMEM231, SLC20A1, TNFRSF10A, PTGIR, CD83, TNFRSF10B, MRAP2, TSPAN3, HEPACAM2, RTN1, PIGN, CERS5, CERK, FPR2, VIPR2]	
C171	19	27	3.17	[TMEM63A, PIGN, ATP2B2, GPR21, TXNDC15, SPPL2B, YIPF3, PTGIR, VIPR2, FPR2, PIGO, SLC4A7, PIGW, PIGU, LPAR1, CERS5, IPPK, GPAA1, HTR3A]	
C172	19	19	4.5	[ASS1, PC, STRAP, BPNT1, CBWD1, ERBB2, SLAMF1, XRCC3, EPHA7, YBEY, TPSB2, IFIT1, PTPN9, GOT1, ME1, ANTXR1, HSD3B2, MDH2, CFTR]	
C173	17	22	3.09	[B2M, CD1A, CD1E, CD1B, CD1D, TMEM67, ANKRD46, TMEM30A, MIA2, ENTPD7, NCEH1, TMEM59L, KCNJ8, DIPK1A, MAN1A2, FCGRT, CANX]	
C174	15	45	1.17	[FGA, KHDRBS2, FGG, RING1, SNX27, ALDH2, HIST1H2BJ, FGB, DDX19B, MAPK6, YWHAQ, APOA1, MIS12, TF, FN1]	
C175	15	22	2.39	[P4HTM, CD1D, CANX, CALR, B2M, SMPD1, GBA, CD1E, TF, CD1B, DIPK1A, MAN1A2, KCNJ8, FCGRT, CNTNAP3B]	
C176	13	13	3.0	[RORA, FOXP3, RUVBL1, PSMC5, NCOA1, NME2, NR0B1, NCOA2, MED1, MYOD1, NME1, EP300, PTGS2]	
C177	13	14	2.79	[SPHK1, TRAF6, FHL2, SPHKAP, RPS6KC1, CTSB, PPM1G, DHPS, DCXR, CYLD, TRAF2, CFTR, CAD]	
C178	12	21	1.57	[PCCB, IFIT1, NDUFS7, MCCC1, PCCA, MCCC2, STK4, ECH1, MRPL58, INPPL1, ACSM5, ACACA]	
C179	12	13	2.54	[PIGW, SPPL2B, GAL3ST1, WLS, IPPK, SLC22A9, SLC2A12, SLC7A1, YIPF3, SLC39A4, PIGN, PIGU]	
C180	12	14	2.36	[SULT2B1, SULT1B1, ALS2CR12, TBC1D22B, CDK15, FCF1, DDX19B, GMCL1, SULT1A1, STS, LTF, GM2A]	
C181	11	13	2.12	[CA9, SLC3A2, ITGB1, ITGA2, MMP14, CAND1, CTNNA1, CDH1, GLRX3, CTNNB1, FN1]	
C182	11	12	2.29	[LBP, LOC100293069, IRF6, PRDX4, CD14, APOA1, LTF, NLRP1, SETX, CP, DDX31]	
C183	11	13	2.12	[LRRFIP2, PYGL, CFTR, OGFOD1, FH, TRNT1, H2AFZ, AHCY, FKBP5, EZR, USP19]	
C184	11	11	2.5	[SYP, PTS, ARHGEF1, AGO4, MAPK7, FNDC5, LCK, TEX29, TAFA4, GTF2H2C, FN1]	
C185	9	23	0.78	[PIGU, LYPD3, PIGK, PIGS, GPAA1, VNN2, PIGT, PRSS50, STOM]	
C186	9	9	2.0	[MOGAT2, NME2P1, NPC2, FGB, NEDD4L, LRP1, BARD1, PSG1, NME2]	
C187	8	7	2.0	[GBA2, LAMTOR5, AFG3L2, SRP68, MRPL44, PPFIA1, BAG5, ILVBL]	
C188	8	7	2.0	[LIPE, CAVIN1, PLIN2, PLIN5, STAR, FABP9, FABP4, PLIN1]	
C189	8	8	1.75	[CERS1, DRD2, LTB4R2, BDKRB1, HTR4, PIGG, PIGM, MGLL]	
C190	8	8	1.75	[USE1, MGLL, SPATA46, HPCAL1, HTR4, LTB4R2, ADRB2, CERS1]	
C191	7	6	1.75	[ALDH6A1, NDUFS7, ABRAXAS1, LAMP2, POLG2, ALDH8A1, ALDH2]	
C192	7	8	1.31	[NDUFB5, ENPP6, TACR1, SACS, NDUFB9, NDUFB8, ND5]	
C193	6	11	0.68	[PIGH, PIGC, IL18RAP, PIGQ, PIGP, PIGA]	
C194	5	9	0.56	[ELN, LOX, FBN1, FBLN5, EFEMP2]	
C195	5	4	1.25	[CYP11A1, SMAD9, SMAD3, NLGN3, FDX1]	
C196	4	5	0.6	[PLSCR4, PLSCR1, HOXA1, EFEMP2]	
C197	4	5	0.6	[NOS1, DLG4, DLG2, DYNLL1]	
C198	4	3	1.0	[SGMS2, CENPO, KIF2C, AKAP5]	
C199	4	3	1.0	[IYD, HIST2H2BE, TRIM69, DDRGK1]	
C200	4	3	1.0	[TST, MRPL50, CLPP, NEDD8]	
C201	4	3	1.0	[EDN1, COPS6, EDNRB, EDNRA]	
C202	4	3	1.0	[PRTN3, ITGAM, IL32, SERPINB1]	
C203	4	3	1.0	[HJV, NEO1, TMPRSS6, BMP2]	
C204	3	3	0.5	[SNCA, DHCR24, GBA]	
C205	3	2	0.75	[CA5A, SIRT3, PMPCA]	
C206	3	2	0.75	[ADAMTS10, YTHDC1, HIST2H2BC]	
C207	2	1	0.5	[TXNRD3, HIST1H2AH]	
C208	2	1	0.5	[FAAH, MME]	
C209	2	1	0.5	[ACER1, UBA52]	
C210	2	1	0.5	[TYR, GPR143]	
C211	2	1	0.5	[GPX3, TP53I3]	
C212	2	1	0.5	[CA5B, DBT]	
C213	2	1	0.5	[PIGL, MEIS2]	
C214	2	1	0.5	[AKR7L, AKR7A3]	
C215	2	1	0.5	[KLRB1, CLEC2D]	
C216	2	1	0.5	[CA12, TMEM30B]	
C217	2	1	0.5	[PIGH, P2RX4]	
